Symbol	NCBI_TaxID
CARS1	10116
KEAP1	10116
MAPK8	10116
MAPK9	10116
MAPK1	10116
MAPK3	10116
NOX4	10116
TP53	10116
TLR4	10116
USP7	10116
miR-182-5p	10116
miR-378a-3p	10116
ACSL4	10116
MFN2	10116
ZFAS1	10116
SLC38A1	10116
MIR335	10116
SNX5	10116
HOTAIR	10116
FOXO4	10116
MIR135B	10116
COX4I2	10116
lncRNA AABR07017145.1	10116
TIMP1	10116
METTL14	10116
NFE2L2	10116
ENPP2	10116
GPX4	10116
FTL	10116
FTH1	10116
FTMT	10116
SENP1	10116
TMSB4X	10116
TMSB4Y	10116
MARCHF5	10116
ACSF2	10116
IREB2	10116
MIR30B	10116
LRRFIP1	10116
PIK3CA	10090
FLT3	10090
SCP2	10090
TP53	10090
TF	10090
TFRC	10090
TFR2	10090
SLC38A1	10090
SLC1A5	10090
GLS2	10090
GOT1	10090
ALOX5	10090
KEAP1	10090
HMOX1	10090
ATG5	10090
ATG7	10090
ACO1	10090
IREB2	10090
G6PDX	10090
ULK1	10090
ATG3	10090
ATG4D	10090
BECN1	10090
MAP1LC3A	10090
GABARAPL2	10090
GABARAPL1	10090
ATG16L1	10090
WIPI1	10090
WIPI2	10090
SNX4	10090
ATG13	10090
ULK2	10090
NCOA4	10090
SAT1	10090
ACSL4	10090
LPCAT3	10090
ALOX15	10090
DPP4	10090
CDKN2A	10090
PEBP1	10090
MAPK14	10090
ELAVL1	10090
EPAS1	10090
HILPDA	10090
HIF1A	10090
ALOX12	10090
IFNG	10090
ANO6	10090
LPIN1	10090
HMGB1	10090
YY1AP1	10090
EGLN2	10090
MIOX	10090
TAFAZZIN	10090
MTDH	10090
SIRT1	10090
FBXW7	10090
PANX1	10090
DNAJB6	10090
BACH1	10090
IL1B	10090
POR	10090
NR1D1	10090
NR1D2	10090
TBK1	10090
IL6	10090
CTSB	10090
ATF4	10090
LINC00618	10090
PEX10	10090
LIG3	10090
ZEB1	10090
PVT1	10090
SLC39A14	10090
MAP3K11	10090
BRD7	10090
SLC25A28	10090
TSC1	10090
LGMN	10090
IFNA1	10090
IFNA2	10090
IFNA4	10090
IFNA5	10090
IFNA6	10090
IFNA7	10090
IFNA8	10090
IFNA10	10090
IFNA13	10090
IFNA14	10090
IFNA16	10090
IFNA17	10090
IFNA21	10090
PPARG	10090
NOX4	10090
MAP3K14	10090
CircKDM4C	10090
MIB2	10090
TRIM21	10090
DPEP1	10090
IDO1	10090
GJA1	10090
PGRMC1	10090
USP11	10090
ZFAS1	10090
PIEZO1	10090
MIR15A	10090
EGR1	10090
KDM6B	10090
KDM5C	10090
MEG3	10090
CCDC6	10090
CFL1	10090
ALOXE3	10090
KMT2D	10090
GPX4	10090
RB1	10090
HSPB1	10090
HSF1	10090
SLC7A11	10090
GCLC	10090
NFE2L2	10090
SQSTM1	10090
NQO1	10090
FTH1	10090
SLC3A2	10090
MT1G	10090
FANCD2	10090
FTMT	10090
HSPA5	10090
HELLS	10090
MTOR	10090
MIR137	10090
SLC40A1	10090
CBS	10090
OTUB1	10090
SCD	10090
SESN2	10090
NF2	10090
ARNTL	10090
JUN	10090
TMBIM4	10090
PLIN2	10090
MIR212	10090
AIFM2	10090
ZFP36	10090
CHMP5	10090
CHMP6	10090
CAV1	10090
PIR	10090
HCAR1	10090
SLC16A1	10090
FZD7	10090
PLA2G6	10090
PARK7	10090
STAT3	10090
ACOT1	10090
ALDH3A2	10090
FNDC5	10090
CDH1	10090
MIR214	10090
GLRX5	10090
RHEBP1	10090
PPP1R13L	10090
IDH2	10090
NOS2	10090
RELA	10090
VDR	10090
FXN	10090
TXN	10090
FGF21	10090
ASAH2	10090
TYRO3	10090
ECH1	10090
PRDX6	10090
CHMP1A	10090
SOX2	10090
PROK2	10090
SIRT2	10090
circRNA1615	10090
SMPD1	10090
ADAMTS13	10090
CircFNDC3B	10090
PPARD	10090
ENO3	10090
MIR9-3HG	10090
ADIPOQ	10090
mmu_circRNA_0000309	10090
MS4A15	10090
FURIN	10090
circGFRA1	10090
MAPKAP1	10090
MLST8	10090
PRR5	10090
RICTOR	10090
TERT	10090
KIM-1	10090
CXCL2	10090
MAFG	10090
IL33	10090
HAMP	10090
STEAP3	10090
TFAP2C	10090
SP1	10090
SIRT3	9823
PRKAA2	9823
FTMT	7227
Fer1HCH	7227
CTSB	
AQP3	
AQP5	
AQP8	
DAZAP1	
NT5DC2	
FDX1	9606
LIAS	9606
LIPT1	9606
DLAT	9606
PDHA1	9606
PDHB	9606
SLC31A1	9606
FLNA	9606
FLNB	9606
MYH9	9606
TLN1	9606
DBN1	9606
ACTA1	9606
ACTA2	9606
ACTB	9606
ACTBL2	9606
ACTC1	9606
ACTG1	9606
ACTG2	9606
MYH10	9606
NCKAP1	9606
RPN1	9606
WASF2	9606
CYFIP1	9606
ABI2	9606
BRK1	9606
RAC1	9606
eag	7227
FIS1	9823
CYLD	9823
DDIT4	9823
SJAG_00564	402676
BCL2L10	9685
GSK3B	9685
XKR5	9685
LOC107934812	3635
crn-7	6238
SJAG_01948	402676
BRAFLDRAFT_231349	7739
LOC100064912	9796
GSDMD	9796
TNFRSF4	9796
BRAFLDRAFT_138180	7739
BRAFLDRAFT_99324	7739
TM2D1	9796
BRAFLDRAFT_255736	7739
BRAFLDRAFT_255398	7739
BRAFLDRAFT_110042	7739
TM2D1	9823
FIS1	9685
TRADD	9685
LOC107935972	3635
DICER1	9258
BAD	9796
A0A6I8P2D0	9258
HTRA1	9544
CD40	9258
A0A6I8P5A6	9258
GSK3B	28377
CYFIP2	28377
gsk3a	28377
BOK	9258
FAS	28377
DEDD2	9544
A0A6I8P8D9	9258
CDK5	9258
DDIT4	9258
CTSH	9258
BRAFLDRAFT_130759	7739
BNIPL	9258
BRAFLDRAFT_72366	7739
BRAFLDRAFT_209226	7739
BNIP3	9258
ATCAY	9544
LOC107905836	3635
LOC107905805	3635
ERN2	13616
TOP2A	13616
LOC100185339	7719
CFLAR	9544
CTSS	9544
BRAFLDRAFT_158006	7739
TNFRSF11A	13616
BRAFLDRAFT_84492	7739
BRAFLDRAFT_235423	7739
GSDMD	9544
8040576	6945
PLEKHO2	9685
BBC3	9685
BCL2A1	9544
CTSK	9258
LOC107941833	3635
GSK3B	9823
DDIT3	9796
JMY	9258
HSPD1	9823
FADD	9685
CASP3	9823
RNF186	9685
FHIT	9823
RNF186	9823
YALI0_A14839g	284591
A0A287ANP8	9823
ATCAY	9685
A0A0E3W2A3	7165
CASP6	9258
TNFRSF21	9823
PHLDA3	13616
F7DQF1	9258
SIVA1	9796
BOK	9823
DEDD	9823
BBC3	13616
BRAFLDRAFT_86621	7739
H9H6L1	13616
BRAFLDRAFT_71566	7739
RELT	13616
crn-6	6238
BNIP3	13616
CBG25496	6238
BRAFLDRAFT_85202	7739
DEDD2	9258
BRAFLDRAFT_194931	7739
kex1	330879
TRADD	9796
BRAFLDRAFT_88587	7739
CASP8	9544
BRAFLDRAFT_75835	7739
BRAFLDRAFT_120486	7739
BRAFLDRAFT_75564	7739
BRAFLDRAFT_75513	7739
BRAFLDRAFT_229336	7739
DNASE2	9796
BRAFLDRAFT_160750	7739
BRAFLDRAFT_210336	7739
F7BMH9	9258
LOC100175152	7719
BRAFLDRAFT_234489	7739
TcasGA2_TC010175	7070
CBG11869	6238
CBG11302	6238
BRAFLDRAFT_77638	7739
DNASE2B	9796
BRAFLDRAFT_188950	7739
AIFM1	9544
BRAFLDRAFT_221118	7739
BRAFLDRAFT_221225	7739
TcasGA2_TC009365	7070
TcasGA2_TC009364	7070
TcasGA2_TC009448	7070
BRAFLDRAFT_76036	7739
A0A3B6A2C9	4565
BRAFLDRAFT_66664	7739
LOC107918940	3635
CASP3	9258
PHLDA3	9544
GSK3B	9544
PDCD2L	9796
hsp-60	6238
TMEM117	9544
ATM	9258
LOC103169510	9258
A0A6I8NU55	9258
A0A6I8NU23	9258
LOC107941134	3635
MCL1	9258
A0A6I8NR67	9258
AIFM2	9258
PLEKHO2	9258
ANXA6	9544
DFFB	9258
HIPK2	9258
DEDD	9258
GSK3B	9258
DNASE1L3	9258
A0A6I8NFS2	9258
TRADD	9258
asp-3	6238
ENDOG	9258
CYLD	9258
ANXA6	9258
DNM1L	9258
LOC107903654	3635
BCL2L10	9258
LOC100082949	9258
IFI6	9258
HIPK1	9258
XKR8	9258
asp-6	6238
CBG11304	6238
asp-5	6238
fis-1	6238
CTSK	9796
BRAFLDRAFT_59798	7739
TcasGA2_TC004502	7070
JMY	9796
asp-2	6238
TMEM117	9796
BRAFLDRAFT_255437	7739
BRAFLDRAFT_275011	7739
BOK	9796
BRAFLDRAFT_234792	7739
BRAFLDRAFT_118819	7739
BRAFLDRAFT_72166	7739
GSK3A	9796
BRAFLDRAFT_206502	7739
LOC107925363	3635
DIABLO	13616
BRAFLDRAFT_206528	7739
BRAFLDRAFT_70777	7739
BRAFLDRAFT_57673	7739
AIFM2	13616
BRAFLDRAFT_206673	7739
BRAFLDRAFT_88504	7739
BRAFLDRAFT_90904	7739
BRAFLDRAFT_57562	7739
BRAFLDRAFT_169348	7739
BRAFLDRAFT_66918	7739
BRAFLDRAFT_75105	7739
BRAFLDRAFT_80164	7739
BRAFLDRAFT_77836	7739
BRAFLDRAFT_115228	7739
BRAFLDRAFT_236932	7739
BRAFLDRAFT_269073	7739
BRAFLDRAFT_236949	7739
TFPT	9796
BRAFLDRAFT_101242	7739
BRAFLDRAFT_129628	7739
LOC107927323	3635
BRAFLDRAFT_68940	7739
TcasGA2_TC010884	7070
BRAFLDRAFT_247509	7739
RELT	9796
LOC107928254	3635
XKR5	9823
A0A287BS73	9823
DELE1	13616
LOC107951018	3635
LOC108987342	51240
LOC108984172	51240
FIS1	9598
TOP2A	9544
TFPT	9258
DICER1	9823
DNASE1L3	9823
LOC108983248	51240
IFI27L2	9598
F7ENY4	9258
LOC108988928	51240
CASP7	9615
XKR9	9258
BCL2L2-PABPN1	9544
